Query,Risk Level,Expected Score
' OR 1=1 --,low,10
'+OR+1=1+--,low,10
'/**/OR/**/1=1/**/--/**//*/**/TEST/**/*/,low,10
' or 1=1 --,low,10
'/**/OR/**/1=1/**/--,low,10
'%20||%201=1%20--,low,10
' OR 1=1 -- /* test */ # MySQL comment,low,10
' || 1=1 -- -- QmOuo # cmwIuyI,low,10
""" OR 1=1 --",low,10
'%20OR%201=1%20--,low,10
' OR 1=1 -- -- fmtSDl,low,10
' OR 1=1 -- # tnMkt,low,10
' or 1=1 -- /* TesT */,low,10
' OR 1=1 -- -- FtgADQqtfb,low,10
' OR 1=1 -- # MySQL comment,low,10
' OR 1=1 #,low,10
' OR 1=1 -- -- pwXjhl,low,10
'+OR+1=1+-- # PCPnkOHGU,low,10
'/**/OR/**/1=1/**/--/**//*/**/test/**/*/,low,10
' or 1=1 #,low,10
'	OR	1=1	-- /* test */,low,10
""" || 1=1 --",low,10
' Or 1=1 -- -- kpWkAN,low,10
' or 1=1 -- /* TEst */,low,10
'++OR++1=1++--,low,10
' OR 1=1 -- /* test */,low,10
'+OR+1=1+-- -- gxyhTccLg # HkHoXfnGCz,low,10
' OR 1=1 -- -- gAFJaZ /* test */,low,10
' OR 1=1 -- # dDutGL # MySQL comment,low,10
'+or+1=1+-- -- cOmmENt,low,10
' OR 1=1 -- -- comment,low,10
' OR 1=1 -- -- aydkDL,low,10
' OR 1=1 -- # iasHusrgu,low,10
' Or 1=1 #,low,10
'+or+1=1+#,low,10
' OR 1=1 -- -- qzigw -- lXlRIKvJWG,low,10
' OR 1=1 -- -- FscbS -- oYuGWQyK,low,10
' oR 1=1 --,low,10
'	OR	1=1	--,low,10
' OR 1=1 -- # MYSQL COMMENT # CHZROYIK,low,10
'+OR+1=1+--+#+MySQL+comment,low,10
' OR 1=1 -- -- QiuYR,low,10
'%20OR%201=1%20--%20#%20ukikZwwd,low,10
' OR 1=1 -- -- kHPewge,low,10
' OR 1=1 -- -- bFxqYUqcLB,low,10
'	OR	1=1	-- # MySQL comment -- comment,low,10
' OR 1=1 -- -- UGSSNocM,low,10
'+OR+1=1+--+#+MySQL+comment # MySQL comment,low,10
'%20or%201=1%20--,low,10
'+||+1=1+--,low,10
'%20OR%201=1%20--%20#%20IjQhxLCE,low,10
'%20OR%201=1%20-- # RdUhy # WhcSgUwO,low,10
'	or	1=1	--,low,10
"""+OR+1=1+--",low,10
' OR 1=1 -- # PfJvKmEp /* test */,low,10
' OR 1=1 -- # dPOGXHadsN,low,10
' oR 1=1 -- -- comment,low,10
'+OR+1=1+-- -- VUZSx -- NdGFVrnqpl,low,10
' OR 1=1 -- /* TEST */,low,10
'+OR+1=1+#,low,10
' || 1=1 -- /* test */,low,10
' || 1=1 --,low,10
'+OR+1=1+-- # cesptYCdIO,low,10
'+OR+1=1+--+--+comment,low,10
' oR 1=1 -- # agHVXha,low,10
'/**/OR/**/1=1/**/#,low,10
' OR 1=1 -- -- nIomzqO,low,10
'  or  1=1  --,low,10
' OR 1=1 -- # NjogT /* test */,low,10
'	OR	1=1	#,low,10
' or 1=1 -- # mYsql COMMENT,low,10
'%20OR%201=1%20#%20#%20JzftjhSVwZ,low,10
' || 1=1 #,low,10
' Or 1=1 --,low,10
' || 1=1 -- # MySQL comment # MySQL comment,low,10
' Or 1=1 -- # MYSQL ComMenT,low,10
'	||	1=1	--,low,10
"""/**/OR/**/1=1/**/--",low,10
'	or	1=1	--	/*	TEST	*/,low,10
"""	OR	1=1	--",low,10
' OR 1=1 -- -- KbbNayrk,low,10
'	Or	1=1	--,low,10
' or 1=1 -- /* test */,low,10
""" OR 1=1 -- # MySQL comment",low,10
'+oR+1=1+--,low,10
' or 1=1 -- # KYCRdwLPbP,low,10
'/**/or/**/1=1/**/--,low,10
'%20OR%201=1%20-- # MySQL comment,low,10
'+OR+1=1+-- -- comment,low,10
'+or+1=1+--+/*+test+*/,low,10
""" or 1=1 -- /* test */",low,10
'%20OR%201=1%20--%20#%20MySQL%20comment,low,10
' OR 1=1 -- -- LIiMM # kHGBQEoF,low,10
'+OR+1=1+--+/*+test+*/+/*+test+*/,low,10
' OR 1=1 # # COmmENt,low,10
'  OR  1=1  -- # NxsgGu,low,10
' OR 1=1 -- -- OTciU,low,10
' OR 1=1 -- -- comment # NcKiFMmiox,low,10
' OR 1=1 -- # wkWoqDi -- gKQOOWtiO,low,10
' or 1=1 -- /* TEST */,low,10
' OR 1=1 -- # JxNoFqqMDi,low,10
'	OR	1=1	--	--	izUpgmTYK,low,10
"""	||	1=1	#",low,10
' OR 1=1 -- /* TesT */ # MYSql coMmeNt,low,10
'%20||%201=1%20-- -- pSMae,low,10
' or 1=1 -- -- COMMENT,low,10
' OR 1=1 -- # MySQL comment # MySQL comment,low,10
"""	or	1=1	--",low,10
'+or+1=1+--,low,10
'+OR+1=1+-- # xVEmF,low,10
