Query 0: computed=low, expected=low [OK]
Query 1: computed=low, expected=low [OK]
Query 2: computed=low, expected=low [OK]
Query 3: computed=medium, expected=low [Mismatch]
Query 4: computed=low, expected=low [OK]
Query 5: computed=low, expected=low [OK]
Query 6: computed=low, expected=low [OK]
Query 7: computed=low, expected=low [OK]
Query 8: computed=low, expected=low [OK]
Query 9: computed=low, expected=low [OK]
Query 10: computed=low, expected=low [OK]
Query 11: computed=low, expected=low [OK]
Query 12: computed=low, expected=low [OK]
Query 13: computed=low, expected=low [OK]
Query 14: computed=low, expected=low [OK]
Query 15: computed=low, expected=low [OK]
Query 16: computed=low, expected=low [OK]
Query 17: computed=low, expected=low [OK]
Query 18: computed=low, expected=low [OK]
Query 19: computed=low, expected=low [OK]
Query 20: computed=low, expected=low [OK]
Query 21: computed=low, expected=low [OK]
Query 22: computed=low, expected=low [OK]
Query 23: computed=low, expected=low [OK]
Query 24: computed=medium, expected=low [Mismatch]
Query 25: computed=low, expected=low [OK]
Query 26: computed=low, expected=low [OK]
Query 27: computed=low, expected=low [OK]
Query 28: computed=low, expected=low [OK]
Query 29: computed=low, expected=low [OK]
Query 30: computed=low, expected=low [OK]
Query 31: computed=low, expected=low [OK]
Query 32: computed=low, expected=low [OK]
Query 33: computed=low, expected=low [OK]
Query 34: computed=low, expected=low [OK]
Query 35: computed=low, expected=low [OK]
Query 36: computed=low, expected=low [OK]
Query 37: computed=low, expected=low [OK]
Query 38: computed=low, expected=low [OK]
Query 39: computed=low, expected=low [OK]
Query 40: computed=low, expected=low [OK]
Query 41: computed=low, expected=low [OK]
Query 42: computed=low, expected=low [OK]
Query 43: computed=low, expected=low [OK]
Query 44: computed=low, expected=low [OK]
Query 45: computed=medium, expected=low [Mismatch]
Query 46: computed=medium, expected=low [Mismatch]
Query 47: computed=low, expected=low [OK]
Query 48: computed=low, expected=low [OK]
Query 49: computed=low, expected=low [OK]
Query 50: computed=low, expected=low [OK]
Query 51: computed=low, expected=low [OK]
Query 52: computed=low, expected=low [OK]
Query 53: computed=low, expected=low [OK]
Query 54: computed=low, expected=low [OK]
Query 55: computed=low, expected=low [OK]
Query 56: computed=low, expected=low [OK]
Query 57: computed=low, expected=low [OK]
Query 58: computed=low, expected=low [OK]
Query 59: computed=low, expected=low [OK]
Query 60: computed=low, expected=low [OK]
Query 61: computed=low, expected=low [OK]
Query 62: computed=low, expected=low [OK]
Query 63: computed=low, expected=low [OK]
Query 64: computed=low, expected=low [OK]
Query 65: computed=low, expected=low [OK]
Query 66: computed=low, expected=low [OK]
Query 67: computed=medium, expected=low [Mismatch]
Query 68: computed=low, expected=low [OK]
Query 69: computed=low, expected=low [OK]
Query 70: computed=low, expected=low [OK]
Query 71: computed=low, expected=low [OK]
Query 72: computed=low, expected=low [OK]
Query 73: computed=low, expected=low [OK]
Query 74: computed=low, expected=low [OK]
Query 75: computed=low, expected=low [OK]
Query 76: computed=low, expected=low [OK]
Query 77: computed=low, expected=low [OK]
Query 78: computed=low, expected=low [OK]
Query 79: computed=low, expected=low [OK]
Query 80: computed=low, expected=low [OK]
Query 81: computed=low, expected=low [OK]
Query 82: computed=low, expected=low [OK]
Query 83: computed=low, expected=low [OK]
Query 84: computed=low, expected=low [OK]
Query 85: computed=low, expected=low [OK]
Query 86: computed=low, expected=low [OK]
Query 87: computed=low, expected=low [OK]
Query 88: computed=low, expected=low [OK]
Query 89: computed=low, expected=low [OK]
Query 90: computed=low, expected=low [OK]
Query 91: computed=low, expected=low [OK]
Query 92: computed=low, expected=low [OK]
Query 93: computed=low, expected=low [OK]
Query 94: computed=low, expected=low [OK]
Query 95: computed=low, expected=low [OK]
Query 96: computed=low, expected=low [OK]
Query 97: computed=low, expected=low [OK]
Query 98: computed=low, expected=low [OK]
Query 99: computed=low, expected=low [OK]

Total: 100, Correct: 95, Accuracy: 95%
